Empty,,Vide,,Vuoto,,Leer,,Vacío,,空の,,비어있는,,空的,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyne's Passage,Aspect of Time,Passage de Kyne ,Aspect du Temps,Passo di Kyne,Cimelio del tempo,Kynes Vergehen,Aspekt Zeit,El paso de Kyne,aspecto de tiempo,カインの時流,間の霊石,카인의 통로,시간의 상,凯恩通道,间相力,,,Each turn grants a 1% buff to advanced stats,,Chaque tour booste les statistiques avancées de 1 %,,1% bonus sulle statistiche avanzate a ogni turno ,,Jede Runde bringt 1 % Buff auf Kombiwerte,,Cada turno otorga un aumento del 1 % a las estadísticas avanzadas.,,毎ターンアドバンスドステータスに1％のバフ効果を与える,,턴마다 고급 스탯에 1% 버프를 부여합니다,,每回合为高级状态提供 1% 的增益
Hecleon's Pride,Hecleon's PrideAspect of the Ego,Orgueil d'Hecleon ,Aspect de l'Égo,Orgoglio di Hecleon,Cimelio dell'ego,Hecleons Stolz,Hecleons StolzAspekt Ego,El orgullo de Hecleon,aspecto de ego,ヘクレオンの傲慢,我の霊石,헤클레온의 긍지,자아의 상,赫克龙的骄傲,克龙的骄傲：自我相力,,,Enemies are much more likely to attack the holder.,,Les ennemis sont plus enclins à attaquer son porteur.,,I nemici attaccheranno chi lo possiede con maggiore probabilità,,Gegner greifen den Träger mit höherer Wahrscheinlichkeit an.,,Los enemigos son mucho más propensos a atacar al poseedor.,,敵が所持者を攻撃する確率が大幅に上がる,,적이 홀더를 공격할 가능성이 높아집니다.,,敌人更有可能攻击持有者。
Zeltar's Flight,Aspect of the Sky,Vol de Zeltar ,Aspect Céleste,Volo di Zeltar,Cimelio del cielo,Zeltars Flug,Aspekt Himmel,El vuelo de Zeltar,aspecto de cielo,ゼルターの飛行,空の霊石,젤타의 비행,하늘의 상,泽尔塔飞行,空相力,,,Swaps Strength and Speed,,Inverse la Force et la Vitesse,,Scambia la forza con la velocità,,Vertauscht Kraft und Tempo,,Intercambia la fuerza y la velocidad.,,筋力と素早さの数値が入れ替わる,,힘과 속도를 바꿉니다,,切换力量和速度
Altum's Descent,Aspect of the Depths,Descente d'Altum ,Aspect des Profondeurs,Discesa di Altum,Cimelio delle profondità,Altums Abstieg,Aspekt Tiefe,El descenso de Altum,aspecto de profundidades,アルタムの降下,淵の霊石,알툼의 하강,심연의 상,奥图姆下降,渊相力,,,Dodge increased by 30% of strength,,L'esquive est augmentée par 30 % de la force,,La schivata aumenta del 30% del valore di forza,,Ausweichen steigt um 30 % der Kraft,,La evasión aumenta en un valor equivalente al 30 % de la fuerza.,,回避が筋力の30％分増加する,,회피가 힘의 30% 증가합니다,,增加 30% 的闪避力量
Varden's Ardor,Aspect of the Forge,Ardeur de Varden ,Aspect de la Forge,Fervore di Varden,Cimelio della forgia,Vardens Feuereifer,Aspekt Schmiede,El ardor de Varden,aspecto de forja,ヴァーデンの情熱,造の霊石,바덴의 정열,연마의 상,瓦尔登激情,造相力,,,Power increased by 15% of each weapon stat,,La puissance est augmentée de 15 % de chaque statistique d'arme,,La potenza aumenta del 15% del valore di ciascuna statistica delle armi,,Macht steigt um 15 % jedes Waffenwerts,,El poder aumenta en un valor equivalente al 15 % de cada estadística de arma.,,威力が各武器ステータスの15％分増加する,,각 무기 스탯의 파워가 15% 증가합니다,,每个武器状态的威力增加 15%
Aethe's Chill,Aspect of Ice,Sang Froid d'Aethe ,Aspect de la Glace,Brivido di Aethe,Cimelio del ghiaccio,Aethes Kühle,Aspekt Eis,El frío de Aethe,aspecto de hielo,アーセの寒気,結の霊石,애테의 냉기,얼음의 상,艾瑟的寒意,之相力,,,Grants 40% resistance to fire magic.,,Confère 40 % de résistance à la magie du feu.,,Fornisce il 40% di resistenza alla magia del fuoco,,Gewährt 40 % Widerstand gegen Feuermagie,,Otorga un 40 % de resistencia a la magia de fuego.,,火炎魔法に対して40％の耐性を付与する,,화염 마법에 40% 저항력을 부여합니다,,获得 40% 的火焰魔法抗性。
Prisbel's Rumble,Aspect of Thunder,Vacarme de Prisbel ,Aspect du Tonnerre,Boato di Prisbel,Cimelio del tuono,Prisbels Grollen,Aspekt Donner,El estruendo de Prisbel,aspecto de trueno,プリズベルの雷鳴,妻の霊石,프리스벨의 고성,천둥의 상,普里斯贝尔的隆隆声,霆相力,,,Grants 40% resistance to storm magic.,,Confère 40 % de résistance à la magie des tempêtes.,,Fornisce il 40% di resistenza alla magia del fulmine,,Gewährt 40 % Widerstand gegen Sturmmagie,,Otorga un 40 % de resistencia a la magia de tormenta.,,嵐魔法に対して40％の耐性を付与する,,폭풍 마법에 40% 저항력을 부여합니다,,获得 40% 的风暴魔法抗性。
Pelagiel's Flash,Aspect of Lightning,Foudre de Pelagiel ,Aspect de l'Éclair,Bagliore di Pelagiel,Cimelio del fulmine,Pelagiels Blitzlicht,Aspekt Blitz,El destello de Pelagiel,aspecto de rayo,ペラギエルの閃光,撃の霊石,펠라기엘의 섬광,번개의 상,佩拉吉尔之闪光,电相力,,,"If doubling, second attack deals 25% increased damage",,"En cas de double attaque, la deuxième inflige 25 % de dégâts supplémentaires",,"In caso di doppio attacco, i danni inflitti con il secondo attacco aumentano del 25%",,Bei Doppelangriff fügt der zweite Angriff 25 % mehr Schaden zu,,"En ataques dobles, el segundo ataque inflige un 25 % más de daño.",,2回攻撃の時、2回目でダメージが25％増加する,,"이중 공격일 경우, 두 번째 공격은 25% 증가한 대미지를 입힙니다",,如果加倍，第二次攻击造成的伤害提高 25%
Koeli's Spirit,Aspect of the Soul,Esprit de Koeli ,Aspect de l'Âme,Spirito di Koeli,Cimelio dell'anima,Koelis Geist,Aspekt Seele,El espíritu de Koeli,aspecto de alma,コエリの精神,魂の霊石,코엘리의 정신,영혼의 상,科利精神,魂相者,,,Swaps defense and fortitude,,Inverse la défense et le courage,,Scambia la difesa con la tempra,,Vertauscht Verteidigung und Standhaftigkeit,,Intercambia la defensa y la fortaleza,,防御力と精神力の数値が入れ替わる,,방어와 의지를 바꿉니다,,交换防御和勇气能量
Ellis' Light,Aspect of the Sun,Lumière d'Ellis ,Aspect du Soleil,Luce di Ellis,Cimelio del sole,Ellis‘ Licht,Aspekt Sonne,La luz de Ellis,aspecto de sol,エリスの光明,陽の霊石,엘리스의 빛,태양의 상,埃利斯之光,阳相力,,,Healing power increased by 50%,,Les pouvoirs de guérison sont augmentés de 50 %,,La potenza di guarigione aumenta del 50%,,Heilkraft steigt um 50 %,,El poder de curación aumenta un 50 %.,,ヒーリングの効果が50％増加する,,치유 파워가 50% 증가합니다,,治疗能力提高 50%
Orion's Pursuit,Aspect of the Hunt,Traque d'Orion ,Aspect de la Chasse,Inseguimento di Orion,Cimelio della caccia,Orions Verfolgung,Aspekt Jagd,La persecución de Orión,aspecto de caza,オリオンの追跡,猟の霊石,오리온의 추격,사냥의 상,猎户座追击,猎相力,,,Hit Chance +15%,,Chance de toucher +15 %,,15% probabilità di colpire ,,Trefferchance +15 %,, +15 % de probabilidad de impacto.,,命中率+15％,,적중 확률 +15%,,命中率 +15%
Almadessa's Glade,Aspect of the Forest,Clairière d'Almadessa ,Aspect de la Forêt,Radura di Almadessa,Cimelio della foresta,Almadessas Lichtung,Aspekt Wald,El claro de Almadessa,aspecto de bosque,アルマデッサの湿地,林の霊石,알마데사의 빈터,숲의 상,阿尔玛德萨林间空地,林相力,,,Fortitude +10 with no adjacent allies,,Courage +10 sans allié adjacent,,10 di tempra quando non ci sono alleati adiacenti,,Standhaftigkeit +10 ohne benachbarte Verbündete,,10 de fortaleza sin aliados adyacentes.,,隣接する味方がいない場合、精神力+10,,인접한 동맹군이 없을 때 의지 +10,,周围盟友盟友时勇气 +10
Sarathel's Sight,Aspect of Clarity,Vision de Sarathel ,Aspect de Clarté,Vista di Sarathel,Cimelio della chiarezza,Sarathels Sicht,Aspekt Klarheit,La vista de Sarathel,aspecto de claridad,サラセルの視界,瞭の霊石,사라델의 시야,명료성의 상,萨拉瑟尔视线,晰相力,,,"Attacking enemies marks them, increasing damage they take by 10% for 1 turn",,Les ennemis sont marqués par l'attaque et subissent 10 % de dégâts supplémentaires pendant 1 tour.,,"Attaccare i nemici lascia un marchio su di essi, i quali subiscono +10% di danni per 1 turno",,Angegriffene Gegner werden markiert und nehmen für 1 Runde 10 % mehr Schaden,,"Los enemigos quedan marcados al atacarlos, lo que aumenta un 10 % el daño que reciben durante 1 turno.",,敵を攻撃すると、敵にマークが付けられ、1ターンの間受けるダメージが10％増加する,,"공격하는 적에게 표식을 남겨, 1턴 동안 받는 대미지를 10% 증가시킵니다",,攻击敌人并做上标记，持续一个回合使其受到的伤害提高 10%
Samaran's Shade,Aspect of Shadow,Ombre de Samaran ,Aspect de l'Ombre,Ombra di Samaran,Cimelio dell'oscurità,Samarans Schatten,Aspekt Schatten,La sombra de Samaran,aspecto de sombra,サマランの陰影,陽の霊石,사마란의 그늘,그림자의 상,萨玛菈之阴影,影相力,,,Significantly lowers the rate at which enemies target the holder,,Les ennemis sont beaucoup moins enclins à prendre le porteur pour cible.,,Diminuisce di molto la probabilità che chi lo possiede venga preso di mira dai nemici,,"Senkt deutlich die Häufigkeit, mit der Gegner den Träger angreifen",,Reduce considerablemente la frecuencia con la que los enemigos atacan al poseedor.,,敵が所持者を攻撃する確率が大幅に下がる,,적이 홀더를 목표로 삼는 속도가 현저하게 느려집니다,,显着降低敌人瞄准持有者的速度
Shamac's Tide,Aspect of the Sea,Marée de Shamac ,Aspect de l'Océan,Marea di Shamac,Cimelio del mare,Shamacs Gezeiten,Aspekt Meer,La marea de Shamac,aspecto de mar,シャマックの潮汐,洋の霊石,샤맥의 조수,바다의 상,沙麦克之潮,海相力,,,Dodging heals 5 HP,,Esquiver soigne de 5 PV,,Schivare guarisce 5 PS,,Ausweichen heilt 5 TP,,Al esquivar se curan 5 PS,,攻撃を回避すると、HPを5回復する,,회피하면 5 HP가 치유됩니다,,躲闪治疗 5 的生命值
Jahno's Stupor,Aspect of Inebriation,Stupeur de Jahno ,Aspect de l'Ébriété,Torpore di Jahno,Cimelio dell'ebbrezza,Jahnos Benommenheit,Aspekt Rausch,El estupor de Jahno,aspecto de embriaguez,ジャーノの忘我,酊の霊石,자노의 인사불성,만취의 상,雅恩之迷醉,酒相力,,,"Dodge reduced by 60%, defense and fortitude increased by 10",,"L'esquive est réduite de 60 %, la défense et le courage augmentent de 10",,"La schivata diminuisce del 60%, la difesa e la tempra aumentano di 10",,"Ausweichen um 60 % reduziert, Verteidigung und Standhaftigkeit steigen um 10",,"La evasión disminuye un 60 %, la defensa y la fortaleza aumentan en 10.",,回避が60％減少し、防御力と精神力が10増加する,,"회피 60% 감소, 방어와 의지가 10 증가",,闪避效率降低 60%，防御和勇气值增加 10 个点
Vigmar's Charge,Aspect of War,Charge de Vigmar ,Aspect de la Guerre,Carica di Vigmar,Cimelio della guerra,Vigmars Angriff,Aspekt Krieg,La carga de Vigmar,aspecto de guerra,ヴィグマーの突撃,争の霊石,비그마르의 돌진,전쟁의 상,维格玛冲锋,争相力,,,Kills grant 1% power til end of chapter,,Chaque élimination augmente la puissance de 1 % jusqu'à la fin du chapitre,,Le uccisioni forniscono +1% potenza fino alla fine del capitolo,,Töten gewährt 1 % Macht bis zum Ende des Kapitels,,Las muertes otorgan un 1 % de poder hasta el final del capítulo,,敵を撃破すると、章の終わりまで威力が1％上がる,,사살이 장이 끝날 때까지 1% 파워를 부여합니다,,杀戮赋予 1% 的力量直到章节结束
Cassara's Blaze,Aspect of Flame,Déflagration de Cassara ,Aspect de la Flamme,Vampata di Cassara,Cimelio del fuoco,Cassaras Lohe,Aspekt Flamme,El incendio de Cassara,aspecto de llama,カッサラの業火,焼の霊石,카사라의 섬광,불꽃의 상,卡萨拉烈焰,焰相力,,,10% chance to do 1.5x damage,,"10 % de chance de multiplier les dégâts par 1,5",,"10% di probabilità di infliggere danni x1,5",,"10 % Chance, 1,5fachen Schaden zu verursachen",,"10 % de probabilidad de infligir daño x1,5.",,10％の確率で1.5倍のダメージを与える,,10% 확률로 1.5배 대미지,,10% 的机会造成 1.5x 伤害
Yl'andra's Font,Aspect of the Arcane,Écriture d'Yl'andra ,Aspect des Arcanes,Fonte di Yl'andra,Cimelio dell'arcano,Yl‘andras Quelle,Aspekt Arkanes,La fuente de Yl'andra,aspecto de lo arcano,ヤランドラの洗礼,式の霊石,일란드라의 서체,비전의 상,伊兰德拉之泉,术相力,,,Power +20%,,Puissance +20 %,,20% potenza,,Macht +20 %,, +20 % de poder.,,威力+20％,,파워 +20%,,能量 +20%
Huss' Hush,Aspect of Secrecy,Silence de Huss ,Aspect du Secret,Silenzio di Huss,Cimelio della segretezza,Huss‘ Stille,Aspekt Geheimes,El silencio de Huss,aspecto de secreto,フスの沈黙,密の霊石,허스의 침묵,비밀의 상,胡斯静谧,密相力,,,Nearby enemies deal 15% less magic damage,,Les ennemis à proximité infligent 15 % de dégâts magiques en moins,,I nemici nelle vicinanze infliggono15% di danni magici,,Gegner in der Nähe verursachen 15 % weniger magischen Schaden,,Los enemigos cercanos infligen un 15 % menos de daño de magia.,,近くの敵による魔法ダメージが15％減少する,,주변 적들의 마법 대미지 15% 감소,,附近的敌人造成少于 15% 的魔法伤害
Soleric's Rally,Aspect of Victory,Rassemblement de Soleric ,Aspect de la Victoire,Raduno di Soleric,Cimelio della vittoria,Solerics Erholung,Aspekt Sieg,La arenga de Soleric,aspecto de victoria,ソレリックの行軍,利の霊石,솔레릭의 랠리,승리의 상,索罗瑞克力赛,利相力,,,Attacking and defeating an enemy heals nearby allies for 10% HP,,Attaquer et vaincre un ennemi soigne les alliés proches de 10 % de leurs PV,,Attaccare e sconfiggere un nemico guarisce gli alleati nelle vicinanze di un valore pari al 10% dei PS,,"Wird ein Gegner angegriffen und besieht, erhalten Verbündete in der Nähe 10 % TP zurück",,Atacar y vencer a un enemigo cura un 10 % de los PS a los aliados cercanos.,,敵を攻撃して倒すと、近くにいる味方のHPを10％回復する,,적을 공격해서 물리치면 주변 동맹군의 HP 10%를 치유합니다,,攻击并击败敌人会为附近的盟友恢复 10% 的生命值
Izn's Hope,Aspect of Peace,Espérance ,Aspect de la Paix,Speranza di Izn,Cimelio della pace,Izns Hoffnung,Aspekt Frieden,La esperanza de Izn,aspecto de paz,イズンの希望,和の霊石,이즌의 희망,평화의 상,伊兹恩之希望,平相力,,,Grants 40% resistance to holy magic,,Confère 40 % de résistance à la magie sainte.,,Fornisce il 40% di resistenza alla magia sacra,,Gewährt 40 % Widerstand gegen heilige Magie,,Otorga un 40 % de resistencia a la magia sagrada.,,光魔法に対して40％の耐性を付与する,,신성 마법에 40% 저항력을 부여합니다,,获得 40% 的神圣魔法抗性
Ancara's Glow,Aspect of the Moons,Brillance d'Ancara ,Aspect des Lunes,Chiarore di Ancara,Cimelio delle lune,Ankaras Glanz,Aspekt Monde,El brillo de Ancara,aspecto de lunas,アンカラの微光,光の霊石,앙카라의 광채,달의 상,安卡拉之光,亮相力,,,"Luck depleted to increase power, dodge, and true speed",,"La chance est consommée au bénéfice de la puissance, de l'esquive et de la vitesse pure.",,"La fortuna si esaurisce, ma aumentano la potenza, la schivata e la vera velocità",,"Glück wird aufgebraucht, um Macht, Ausweichen und Realtempo zu erhöhen",,"La suerte se agota para aumentar el poder, la evasión y la velocidad real.",,運の良さが大幅に減少するが、威力、回避、実戦速度が増加する,,"행운이 고갈되고 파워, 회피, 실제 속도가 증가합니다",,运气耗尽以提升力量、闪避和真实速度
Innileth's Scale,Aspect of Justice,Balance d'Innileth ,Aspect de la Justice,Equilibrio di Innileth,Cimelio della giustizia,Innileths Waage,Aspekt Gerechtigkeit,La balanza de Innileth,aspecto de justicia,イニレスの片鱗,義の霊石,이닐레스의 천칭,정의의 상,英力士之秤,义相力,,,Swaps defense and strength,,Inverse la défense et la force,,Scambia la difesa con la forza,,Vertauscht Verteidigung und Kraft,,Intercambia la defensa y la fuerza.,,防御力と筋力の数値が入れ替わる,,방어와 힘을 바꿉니다,,切换防御力和能量
Quintare's Quill,Aspect of writing,Plume de Quintare ,Aspect de l'Écriture,Piuma di Quintare,Cimelio della scrittura,Quintares Feder,Aspekt Schreiben,La pluma de Quintare,aspecto de escritura,クインターレの毛筆,筆の霊石,퀸테이어의 깃펜,집필의 상,昆泰的羽毛笔,作相力,,,Swaps mastery and luck,,Inverse la maîtrise et la chance,,Scambia la maestria con la fortuna,,Vertauscht Meisterschaft und Glück,,Intercambia la maestría y la suerte.,,熟練度と運の良さの数値が入れ替わる,,숙달과 행운을 바꿉니다,,切换精通度和运气
Darmena's Kiss,Aspect of Love,Baiser de Darmena ,Aspect de l'Amour,Bacio di Darmena,Cimelio dell'amore,Darmenas Kuss,Aspekt Liebe,El beso de Darmena,aspecto de amor,ダルメナのキス,愛の霊石,다르메나의 키스,사랑의 상,达米纳之吻,情相力,,,Swaps crit and power,,Inverse les dégâts critiques et la puissance,,Scambia il colpo critico con la potenza,,Vertauscht Krit. und Macht,,Intercambia el crítico y el poder.,,必殺と威力の数値が入れ替わる,,치명타와 파워를 바꿉니다,,交换暴击力度和能量
Linhera's Whisper,Aspect of Wind,Chuchotement de Linhera ,Aspect du Vent,Sospiro di Linhera,Cimelio del vento,Linheras Flüstern,Aspekt Wind,El susurro de Linhera,aspecto de viento,リンヘラの息吹,風の霊石,린헤라의 속삭임,바람의 상,林赫拉低语,之相力,,,Swaps power and true speed,,Inverse la puissance et la vitesse pure,,Scambia la potenza con la vera velocità,,Vertauscht Macht und Realtempo,,Intercambia el poder y la velocidad real.,,威力と実戦速度の数値が入れ替わる,,파워와 실제 속도를 바꿉니다,,切换能量和真实速度
Kitara's Chord,Aspect of Music,Arpège de Kitara ,Aspect de la Musique,Accordo di Kitara,Cimelio della musica,Kitaras Akkord,Aspekt Musik,El acorde de Kitara,aspecto de música,キタラの調律,楽の霊石,키타라의 화음,음악의 상,吉他拉和弦,乐相力,,,Swaps accuracy and dodge,,Inverse la précision et l'esquive,,Scambia la precisione con la schivata,,Vertauscht Präzision und Ausweichen,,Intercambia la precisión y la evasión.,,命中と回避の数値が入れ替わる,,정확도와 회피를 바꿉니다,,切换精度和闪避能力
Yl'undrea's Drift,Aspect of Dreams,Onirisme d'Yl'undrea ,Aspect des Rêves,Deriva di Yl'undrea,Cimelio dei sogni,Yl‘undreas Drift,Aspekt Träume,La deriva de Yl'undrea,aspecto de sueños,ユルンドレアの漂流,想の霊石,일룬드레아의 표류,꿈의 상,伊兰德里亚漂移,之相力,,,Magic depleted to increase defense and fortitude,,Consomme la magie au bénéfice de la défense et du courage,,"La magia si esaurisce, ma aumentano la difesa e la tempra",,"Magie wird aufgebraucht, um Verteidigung und Standhaftigkeit zu erhöhen",,La magia se agota para aumentar la defensa y la fortaleza.,,魔力が大幅に減少するが、防御力と精神力が増加する,,마법이 고갈되고 방어와 의지가 증가합니다,,耗尽魔法来增加防御和坚韧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tier 1 Token,Weapon Token,Points d’armes 1,Points d’armes 1,Gettoni arma 1,Gettoni arma 1,Waffenmarken 1,Waffenmarken 1,Fichas de armas 1,Fichas de armas 1,武器トークン 1,武器トークン 1,무기 토큰1,무기 토큰1,武器代币1,武器代币 1,,,,,,,,,,,,,,,,,
Tier 2 Token,Weapon Token,Points d’armes 2,Points d’armes 2,Gettoni arma 2,Gettoni arma 2,Waffenmarken 2,Waffenmarken 2,Fichas de armas 2,Fichas de armas 2,武器トークン 2,武器トークン 2,무기 토큰2,무기 토큰2,武器代币2,武器代币 2,,,,,,,,,,,,,,,,,
Tier 3 Token,Weapon Token,Points d’armes 3,Points d’armes 3,Gettoni arma 3,Gettoni arma 3,Waffenmarken 3,Waffenmarken 3,Fichas de armas 3,Fichas de armas 3,武器トークン 3,武器トークン 3,무기 토큰3,무기 토큰3,武器代币3,武器代币 3,,,,,,,,,,,,,,,,,
Tier 4 Token,Weapon Token,Points d’armes 4,Points d’armes 4,Gettoni arma 4,Gettoni arma 4,Waffenmarken 4,Waffenmarken 4,Fichas de armas 4,Fichas de armas 4,武器トークン 4,武器トークン 4,무기 토큰4,무기 토큰4,武器代币4,武器代币 4,,,,,,,,,,,,,,,,,
